N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"55,750","55,750",상승950,+1.73%,100,"3,300,198","5,919,638",49.69,"6,158,342",11.26,9.03
2,SK하이닉스,"194,400","194,400","상승4,300",+2.26%,"5,000","1,415,237","728,002",53.78,"854,229",7.15,31.06
3,LG에너지솔루션,"319,000","319,000","상승1,000",+0.31%,500,"746,460","234,000",4.23,"59,561",-73.27,-4.93
4,삼성바이오로직스,"1,000,000","1,000,000","하락40,000",-3.85%,"2,500","711,740","71,174",13.04,"73,089",65.70,10.45
5,현대차,"194,000","194,000","상승4,100",+2.16%,"5,000","406,267","209,416",35.45,"271,750",4.21,12.43
6,한화에어로스페이스,"840,000","840,000","하락38,000",-4.33%,"5,000","382,882","45,581",47.09,"151,447",17.89,53.94
7,삼성전자우,"46,300","46,300",상승500,+1.09%,100,"377,796","815,975",73.75,"471,095",9.35,N/A
8,기아,"91,700","91,700","상승2,400",+2.69%,"5,000","364,666","397,673",38.59,"362,429",3.76,19.09
9,KB금융,"91,800","91,800",하락200,-0.22%,"5,000","361,259","393,528",75.18,"431,261",7.23,8.86
10,HD현대중공업,"404,500","404,500","하락8,500",-2.06%,"5,000","359,087","88,773",10.28,"126,113",57.78,11.39
11,셀트리온,"151,800","151,800","하락6,200",-3.92%,"1,000","338,499","222,990",22.12,"904,751",81.83,2.46
12,NAVER,"191,200","191,200",상승200,+0.10%,100,"302,932","158,437",48.64,"210,561",16.05,7.90
13,신한지주,"51,400","51,400",상승700,+1.38%,"5,000","258,771","503,445",57.34,"391,425",5.88,8.11
14,현대모비스,"259,000","259,000","상승3,500",+1.37%,"5,000","240,857","92,995",41.72,"52,955",5.96,9.35
15,한화오션,"77,750","77,750","하락2,050",-2.57%,"5,000","238,236","306,413",12.80,"1,606,024",45.10,11.52
16,메리츠금융지주,"118,200","118,200",보합0,0.00%,500,"212,777","180,014",16.36,"104,724",9.94,23.44
17,삼성물산,"123,900","123,900",상승900,+0.73%,100,"210,601","169,977",27.68,"83,942",10.09,6.83
18,POSCO홀딩스,"259,000","259,000",상승500,+0.19%,"5,000","209,616","80,933",29.15,"81,634",19.81,2.00
19,HD한국조선해양,"272,500","272,500","하락11,000",-3.88%,"5,000","192,857","70,773",32.11,"136,737",16.45,11.16
20,두산에너빌리티,"29,300","29,300","상승1,450",+5.21%,"5,000","187,684","640,561",24.45,"9,770,621",168.39,1.52
21,하나금융지주,"64,200","64,200",상승400,+0.63%,"5,000","184,409","287,241",66.56,"226,146",4.99,9.11
22,크래프톤,"374,000","374,000","하락1,000",-0.27%,100,"179,214","47,918",41.87,"29,620",13.77,21.10
23,삼성화재,"377,500","377,500","상승2,000",+0.53%,500,"178,840","47,375",53.80,"17,158",9.21,13.11
24,고려아연,"854,000","854,000","상승6,000",+0.71%,"5,000","176,806","20,703",12.22,"9,576",92.93,2.28
25,한국전력,"27,000","27,000",상승50,+0.19%,"5,000","173,330","641,964",18.20,"1,003,963",4.96,9.22
26,삼성생명,"85,100","85,100",상승500,+0.59%,500,"170,200","200,000",21.73,"49,148",8.08,6.18
27,HMM,"18,990","18,990",상승830,+4.57%,"5,000","167,309","881,039",9.23,"1,855,549",3.76,15.35
28,카카오,"37,400","37,400",상승450,+1.22%,100,"166,024","443,914",28.53,"830,274",301.61,0.56
