N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"55,800","상승1,000",+1.82%,100,"3,303,158","5,919,638",49.69,"6,139,466",11.27,9.03
2,SK하이닉스,"194,600","상승4,500",+2.37%,"5,000","1,416,693","728,002",53.78,"847,185",7.16,31.06
3,LG에너지솔루션,"319,000","상승1,000",+0.31%,500,"746,460","234,000",4.23,"58,962",-73.27,-4.93
4,삼성바이오로직스,"999,500","하락40,500",-3.89%,"2,500","711,384","71,174",13.04,"72,947",65.67,10.45
5,현대차,"193,900","상승4,000",+2.11%,"5,000","406,058","209,416",35.45,"269,154",4.21,12.43
6,한화에어로스페이스,"841,000","하락37,000",-4.21%,"5,000","383,338","45,581",47.09,"150,543",17.92,53.94
7,삼성전자우,"46,375",상승575,+1.26%,100,"378,408","815,975",73.75,"461,289",9.37,N/A
8,기아,"91,600","상승2,300",+2.58%,"5,000","364,268","397,673",38.59,"360,934",3.75,19.09
9,KB금융,"91,800",하락200,-0.22%,"5,000","361,259","393,528",75.18,"430,187",7.23,8.86
10,HD현대중공업,"404,500","하락8,500",-2.06%,"5,000","359,087","88,773",10.28,"125,433",57.78,11.39
11,셀트리온,"151,800","하락6,200",-3.92%,"1,000","338,499","222,990",22.12,"902,067",81.83,2.46
12,NAVER,"191,200",상승200,+0.10%,100,"302,932","158,437",48.64,"210,129",16.05,7.90
13,신한지주,"51,600",상승900,+1.78%,"5,000","259,778","503,445",57.34,"389,913",5.90,8.11
14,현대모비스,"259,000","상승3,500",+1.37%,"5,000","240,857","92,995",41.72,"52,896",5.96,9.35
15,한화오션,"77,700","하락2,100",-2.63%,"5,000","238,083","306,413",12.80,"1,598,481",45.07,11.52
16,메리츠금융지주,"118,100",하락100,-0.08%,500,"212,597","180,014",16.36,"103,611",9.93,23.44
17,삼성물산,"123,900",상승900,+0.73%,100,"210,601","169,977",27.68,"83,695",10.09,6.83
18,POSCO홀딩스,"258,500",보합0,0.00%,"5,000","209,212","80,933",29.15,"81,144",19.77,2.00
19,HD한국조선해양,"273,000","하락10,500",-3.70%,"5,000","193,211","70,773",32.11,"135,626",16.48,11.16
20,두산에너빌리티,"29,350","상승1,500",+5.39%,"5,000","188,005","640,561",24.45,"9,745,302",168.68,1.52
21,하나금융지주,"64,200",상승400,+0.63%,"5,000","184,409","287,241",66.56,"225,545",4.99,9.11
22,크래프톤,"374,500",하락500,-0.13%,100,"179,454","47,918",41.87,"29,369",13.79,21.10
23,삼성화재,"377,500","상승2,000",+0.53%,500,"178,840","47,375",53.80,"17,092",9.21,13.11
24,고려아연,"853,000","상승5,000",+0.59%,"5,000","176,599","20,703",12.22,"9,563",92.82,2.28
25,한국전력,"27,000",상승50,+0.19%,"5,000","173,330","641,964",18.20,"999,071",4.96,9.22
26,삼성생명,"85,100",상승500,+0.59%,500,"170,200","200,000",21.73,"49,123",8.08,6.18
27,HMM,"19,010",상승850,+4.68%,"5,000","167,486","881,039",9.23,"1,838,760",3.76,15.35
28,카카오,"37,450",상승500,+1.35%,100,"166,246","443,914",28.53,"821,036",302.02,0.56
29,LG화학,"206,500","상승1,000",+0.49%,"5,000","145,773","70,592",30.22,"55,116",-23.40,-2.11
30,KT&G,"116,100","하락2,100",-1.78%,"5,000","141,715","122,062",43.87,"142,541",12.94,12.66
31,SK이노베이션,"92,100","상승1,300",+1.43%,"5,000","139,103","151,035",13.50,"98,244",-4.34,-9.65
32,우리금융지주,"17,760",상승70,+0.40%,"5,000","131,884","742,592",45.14,"524,876",4.29,9.39
33,KT,"51,500",보합0,0.00%,"5,000","129,791","252,022",49.00,"113,782",27.84,2.85
34,삼성중공업,"14,510",하락330,-2.22%,"1,000","127,688","880,000",29.92,"5,284,842",198.77,1.77
35,SK스퀘어,"95,000","상승1,300",+1.39%,100,"125,914","132,541",52.19,"78,927",3.47,21.70
36,HD현대일렉트릭,"345,000","상승10,500",+3.14%,"5,000","124,363","36,047",31.18,"169,588",24.80,39.34
37,현대로템,"113,700","하락11,700",-9.33%,"5,000","124,095","109,142",31.23,"1,422,520",30.50,21.85
38,기업은행,"15,210",상승60,+0.40%,"5,000","121,288","797,426",13.95,"215,657",4.59,8.06
39,삼성SDI,"172,000","상승1,600",+0.94%,"5,000","118,275","68,765",31.37,"94,439",20.64,3.13
40,LG전자,"71,950",상승850,+1.20%,"5,000","117,745","163,648",29.54,"147,166",35.41,1.81
41,SK텔레콤,"51,700",하락700,-1.34%,100,"111,046","214,790",42.41,"580,230",8.90,10.83
42,하이브,"264,000","하락6,000",-2.22%,500,"109,962","41,652",18.69,"97,571","1,173.33",0.31
43,카카오뱅크,"22,850",상승150,+0.66%,"5,000","108,989","476,976",17.18,"92,662",24.76,6.95
44,LG,"68,600",상승900,+1.33%,"5,000","107,908","157,301",35.02,"70,659",19.14,2.16
45,삼성에스디에스,"130,000","상승1,000",+0.78%,500,"100,591","77,378",19.28,"38,619",13.29,8.42
46,SK,"138,700","상승1,300",+0.95%,200,"100,561","72,503",23.61,"77,966",-7.87,-5.64
47,포스코퓨처엠,"122,800","상승2,300",+1.91%,500,"95,125","77,463",9.41,"158,113",-44.80,-7.98
48,삼성전기,"122,000","상승4,800",+4.10%,"5,000","91,126","74,694",31.75,"231,293",13.94,8.16
49,한국항공우주,"88,800","하락4,300",-4.62%,"5,000","86,558","97,475",35.12,"819,693",50.31,10.42
